Test Case ID,Module,Feature,Test Case Title,Priority,Test Type,Platform,Preconditions,Test Steps,Expected Result,Sync Status,Actual Result,Pass/Fail,Notes
TC-001,Launch & Onboarding,First Launch,Fresh install launches splash and completes Bible content unzip,High,Functional,Both,App not installed or data cleared,1. Install app fresh. 2. Launch app. 3. Wait for splash to finish.,Splash appears; app proceeds without crash; Bible content becomes available for reading.,Aligned,,,
TC-002,Launch & Onboarding,First Launch,First-time user sees onboarding screens,High,Functional,Both,First launch after install,1. Launch app on first run. 2. Progress through onboarding screens 2-4.,Onboarding screens display in sequence; user can proceed through each screen.,Aligned,,,
TC-003,Launch & Onboarding,First Launch,Skip on onboarding navigates to subscription screen,Medium,Functional,Both,On onboarding screen,1. Tap Skip on any onboarding screen.,User is taken to BibleSubscriptionView / IAP screen without crash.,Aligned,,,
TC-004,Launch & Onboarding,ATT,App Tracking Transparency prompt appears on first launch,Medium,Functional,Both,First launch iOS 14+,1. Launch app first time. 2. Observe ATT prompt.,ATT dialog appears; app continues whether user allows or denies tracking.,Aligned,,,
TC-005,Launch & Onboarding,Returning User,Returning user skips onboarding and opens reader,High,Functional,Both,App previously completed onboarding,1. Force quit app. 2. Relaunch app.,Splash shows briefly; user lands in ReaderViewController without onboarding.,Aligned,,,
TC-006,Launch & Onboarding,App Update,Update available modal shows once per day,Low,Functional,Both,Newer App Store version exists; modal not shown today,1. Launch app when update available.,UpdateScreenViewController appears once; does not repeat same day after dismiss.,Aligned,,,
TC-007,Navigation,Bottom Tabs,Home tab loads HomeController,High,Functional,Both,User on reader hub,1. Tap Home tab.,Home screen displays with daily verse and action buttons.,Aligned,,,
TC-008,Navigation,Bottom Tabs,Daily Verse tab opens Bible reader,High,Functional,Both,User on reader hub,1. Tap Daily Verse tab.,Bible reader (PageSwipeVc + ReaderSourceViewController) opens with current chapter.,Aligned,,,
TC-009,Navigation,Bottom Tabs,My Library tab loads library screen,High,Functional,Both,User on reader hub,1. Tap My Library tab.,MyLibraryViewController opens with tab strip visible.,Aligned,,,
TC-010,Navigation,Top Bar,Book list opens from reader header,High,Functional,Both,User on Bible reader,1. Tap book name in top bar.,BookListViewController opens; user can select a book.,Aligned,,,
TC-011,Navigation,Top Bar,Chapter picker opens and changes chapter,High,Functional,Both,User on Bible reader,1. Tap chapter label. 2. Select different chapter.,Chapter changes; verses reload for selected chapter.,Aligned,,,
TC-012,Navigation,Top Bar,Search opens from reader top bar,High,Functional,Both,User on Bible reader,1. Tap Search icon.,SearchViewController opens.,Aligned,,,
