Test Case ID,Module,Feature,Test Case Title,Priority,Test Type,Platform,Preconditions,Test Steps,Expected Result,Actual Result,Pass/Fail,Notes
TC-001,Launch & Onboarding,First Launch,Fresh install launches splash and completes Bible content unzip,High,Functional,Both,App not installed or data cleared,1. Install app fresh. 2. Launch app. 3. Wait for splash to finish.,Splash appears; app proceeds without crash; Bible content becomes available for reading.,,,
TC-002,Launch & Onboarding,First Launch,First-time user sees onboarding screens,High,Functional,Both,First launch after install,1. Launch app on first run. 2. Progress through onboarding screens 2-4.,Onboarding screens display in sequence; user can proceed through each screen.,,,
TC-003,Launch & Onboarding,First Launch,Skip on onboarding navigates to subscription screen,Medium,Functional,Both,On onboarding screen,1. Tap Skip on any onboarding screen.,User is taken to BibleSubscriptionView / IAP screen without crash.,,,
TC-004,Launch & Onboarding,ATT,App Tracking Transparency prompt appears on first launch,Medium,Functional,Both,First launch iOS 14+,1. Launch app first time. 2. Observe ATT prompt.,ATT dialog appears; app continues whether user allows or denies tracking.,,,
TC-005,Launch & Onboarding,Returning User,Returning user skips onboarding and opens reader,High,Functional,Both,App previously completed onboarding,1. Force quit app. 2. Relaunch app.,Splash shows briefly; user lands in ReaderViewController without onboarding.,,,
TC-006,Launch & Onboarding,App Update,Update available modal shows once per day,Low,Functional,Both,Newer App Store version exists; modal not shown today,1. Launch app when update available.,UpdateScreenViewController appears once; does not repeat same day after dismiss.,,,
TC-007,Navigation,Bottom Tabs,Home tab loads HomeController,High,Functional,Both,User on reader hub,1. Tap Home tab.,Home screen displays with daily verse and action buttons.,,,
TC-008,Navigation,Bottom Tabs,Daily Verse tab opens Bible reader,High,Functional,Both,User on reader hub,1. Tap Daily Verse tab.,Bible reader (PageSwipeVc + ReaderSourceViewController) opens with current chapter.,,,
TC-009,Navigation,Bottom Tabs,My Library tab loads library screen,High,Functional,Both,User on reader hub,1. Tap My Library tab.,MyLibraryViewController opens with tab strip visible.,,,
TC-010,Navigation,Top Bar,Book list opens from reader header,High,Functional,Both,User on Bible reader,1. Tap book name in top bar.,BookListViewController opens; user can select a book.,,,
TC-011,Navigation,Top Bar,Chapter picker opens and changes chapter,High,Functional,Both,User on Bible reader,1. Tap chapter label. 2. Select different chapter.,Chapter changes; verses reload for selected chapter.,,,
TC-012,Navigation,Top Bar,Search opens from reader top bar,High,Functional,Both,User on Bible reader,1. Tap Search icon.,SearchViewController opens.,,,
TC-013,Navigation,Top Bar,Quiz button opens quiz selection,Medium,Functional,Both,User on Bible reader,1. Tap Quiz button.,Quiz selection screen opens.,,,
TC-014,Navigation,Top Bar,More menu opens settings/actions,Medium,Functional,iPhone,User on Bible reader (iPhone),1. Tap More menu.,Action sheet with available options appears.,,,
TC-015,Navigation,Top Bar,More menu opens on iPad,Medium,Functional,iPad,User on Bible reader (iPad),1. Tap More menu.,Alert-style menu appears without layout crash.,,,
TC-016,Reader,Verse Display,Tap verse opens verse action sheet,High,Functional,Both,User on Bible reader with verses visible,1. Tap any verse.,VersesMenu bottom sheet opens showing all action buttons.,,,
TC-017,Reader,Verse Display,Get Explanation button visible at top of verse menu,High,UI,Both,User opens verse action sheet,1. Tap a verse. 2. Inspect top of sheet.,Full-width Get Explanation button visible at top; not clipped; bottom row (Bookmark through Explain ad) fully visible.,,,
TC-018,Reader,Verse Display,Mark as Read works without crash,High,Regression,Both,User on Bible reader,1. Tap Mark as Read in reader footer.,Action completes; no cell dequeue crash; optional quiz/ad flow may appear.,,,
TC-019,Reader,Verse Display,Continue Reading navigates to last-read verse,High,Functional,Both,User has prior reading position saved,1. Go to Home. 2. Tap Continue Reading.,Reader opens and scrolls to last-read verse with brief highlight.,,,
TC-020,Reader,Verse Display,Night mode toggles reader appearance,Medium,Functional,Both,User on Bible reader,1. Toggle night mode from top bar.,Reader background/text colors switch per night mode theme.,,,
TC-021,Verse Menu,Bookmark,Bookmark verse saves successfully,High,Functional,Both,Verse not bookmarked,1. Open verse menu. 2. Tap Bookmark.,Toast Bookmark saved; icon changes to filled; entry appears in My Library Bookmarks.,,,
TC-022,Verse Menu,Bookmark,Remove bookmark from verse menu,High,Functional,Both,Verse already bookmarked,1. Open verse menu. 2. Tap Bookmark again.,Toast Bookmark Removed; icon reverts; entry removed from My Library.,,,
TC-023,Verse Menu,Notes,Save new note on verse,High,Functional,Both,Verse has no note,1. Open verse menu. 2. Tap Notes. 3. Enter text. 4. Save.,Note saved toast; Notes icon filled; entry in My Library Notes.,,,
TC-024,Verse Menu,Notes,Empty note blocked from saving,Medium,Negative,Both,Notes overlay open,1. Open Notes. 2. Leave empty or placeholder. 3. Tap Save.,Toast Enter notes to save; note not saved.,,,
TC-025,Verse Menu,Notes,Delete existing note,High,Functional,Both,Verse has saved note,1. Open Notes. 2. Tap Delete.,Note deleted; icon reverts; removed from My Library.,,,
TC-026,Verse Menu,Underline,Underline verse toggles on,High,Functional,Both,Verse not underlined,1. Open verse menu. 2. Tap Underline.,Toast Verse Underlined; underline visible in reader; My Library Underline tab lists item.,,,
TC-027,Verse Menu,Underline,Remove underline toggles off,High,Functional,Both,Verse underlined,1. Open verse menu. 2. Tap Underline again.,Toast Underline Removed; underline removed in reader.,,,
TC-028,Verse Menu,Highlight,Apply highlight color to verse,High,Functional,Both,Verse not highlighted,1. Open verse menu. 2. Tap a highlight color.,Toast Highlight Saved; verse shows highlight; My Library Highlights lists item.,,,
TC-029,Verse Menu,Highlight,Re-tap same color removes highlight,High,Functional,Both,Verse highlighted with color,1. Open verse menu. 2. Tap same highlight color again.,Toast Highlight Removed; highlight cleared.,,,
TC-030,Verse Menu,Copy,Copy verse to clipboard,High,Functional,Both,Verse menu open,1. Tap Copy.,Toast Copied Successfully; clipboard contains verse text reference and app link.,,,
TC-031,Verse Menu,Share,Share verse opens share flow,High,Functional,Both,Verse menu open,1. Tap Share.,SharedViewController or system share sheet opens with verse content.,,,
TC-032,Verse Menu,Reset,Reset clears all verse annotations,High,Functional,Both,Verse has bookmark/note/highlight/underline,1. Open verse menu. 2. Tap Reset.,Toast Verse Reset Successfully; all annotation icons revert to default; Core Data cleared for verse.,,,
TC-033,Verse Menu,Create Image,Create image opens wallpaper flow,Medium,Functional,Both,Verse menu open,1. Tap Create image / Image.,WallpaperView opens for selected verse.,,,
